component,function,endpoint,method,auth,expected,dto,db_source,status,mock_policy
other,root__get,/,GET,optional_or_unknown,Root,unknown,to_verify,to_verify,must_not_return_mock
payments,retrieve_activation_code_api_activation_retrieve_post,/api/activation/retrieve,POST,optional_or_unknown,Retrieve Activation Code,unknown,to_verify,to_verify,must_not_return_mock
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,/api/ai-categories/age-restriction,POST,optional_or_unknown,Установить ограничение по возрасту,object,to_verify,to_verify,must_not_return_mock
AI Categories,allow_sites_api_ai_categories_allow_post,/api/ai-categories/allow,POST,optional_or_unknown,Разрешить доступ к AI-сайтам,object,to_verify,to_verify,must_not_return_mock
AI Categories,block_sites_api_ai_categories_block_post,/api/ai-categories/block,POST,optional_or_unknown,Заблокировать AI-сайты,object,to_verify,to_verify,must_not_return_mock
AI Categories,check_access_api_ai_categories_check_post,/api/ai-categories/check,POST,optional_or_unknown,Проверить доступ к AI-сайту,object,to_verify,to_verify,must_not_return_mock
AI Categories,health_check_api_ai_categories_health_get,/api/ai-categories/health,GET,optional_or_unknown,Health check,object,to_verify,to_verify,must_not_return_mock
AI Categories,get_access_history_api_ai_categories_history_get,/api/ai-categories/history,GET,optional_or_unknown,Получить историю попыток доступа,object,to_verify,to_verify,must_not_return_mock
AI Categories,get_sites_api_ai_categories_sites_get,/api/ai-categories/sites,GET,optional_or_unknown,Получить список всех AI-сайтов,object,to_verify,to_verify,must_not_return_mock
AI Categories,get_status_api_ai_categories_status_get,/api/ai-categories/status,GET,optional_or_unknown,Получить статус всех AI-сайтов для пользователя,object,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,/api/ai/assistant/analyze_threat,POST,optional_or_unknown,Ai Assistant Analyze Threat,AnalyzeThreatResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_capabilities_api_ai_assistant_capabilities_get,/api/ai/assistant/capabilities,GET,optional_or_unknown,Ai Assistant Capabilities,CapabilitiesResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,/api/ai/assistant/chat,POST,required,Ai Assistant Chat,ChatMessageResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,/api/ai/assistant/feedback,POST,optional_or_unknown,Ai Assistant Feedback,FeedbackResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_history_api_ai_assistant_history_get,/api/ai/assistant/history,GET,optional_or_unknown,Ai Assistant History,ChatHistoryResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_recommendations_api_ai_assistant_recommendations_get,/api/ai/assistant/recommendations,GET,optional_or_unknown,Ai Assistant Recommendations,RecommendationsResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,/api/ai/assistant/report_incident,POST,optional_or_unknown,Ai Assistant Report Incident,ReportIncidentResponse,to_verify,to_verify,must_not_return_mock
AI Assistant,ai_assistant_security_tips_api_ai_assistant_security_tips_get,/api/ai/assistant/security_tips,GET,optional_or_unknown,Ai Assistant Security Tips,SecurityTipsResponse,to_verify,to_verify,must_not_return_mock
system-ai-compat,ai_chat_compat_api_ai_chat_get,/api/ai/chat,GET,required,Ai Chat Compat,object,to_verify,to_verify,must_not_return_mock
system-ai-compat,ai_message_compat_api_ai_message_get,/api/ai/message,GET,required,Ai Message Compat,object,to_verify,to_verify,must_not_return_mock
analytics,get_analytics_api_analytics_get,/api/analytics,GET,required,Get Analytics,AnalyticsResponse,to_verify,to_verify,must_not_return_mock
analytics,get_analytics_threats_api_analytics_threats_get,/api/analytics/threats,GET,required,Get Analytics Threats,ThreatsResponse,to_verify,to_verify,must_not_return_mock
analytics,get_analytics_top_threats_api_analytics_top_threats_get,/api/analytics/top-threats,GET,required,Get Analytics Top Threats,TopThreatsResponse,to_verify,to_verify,must_not_return_mock
anti-tracker,block_tracker_api_anti_tracker_block_post,/api/anti-tracker/block,POST,optional_or_unknown,Блокировка трекера,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,check_request_api_anti_tracker_check_post,/api/anti-tracker/check,POST,optional_or_unknown,Проверка URL на трекеры,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,health_check_api_anti_tracker_health_get,/api/anti-tracker/health,GET,optional_or_unknown,Health check,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,get_settings_api_anti_tracker_settings_get,/api/anti-tracker/settings,GET,optional_or_unknown,Получение настроек,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,update_settings_api_anti_tracker_settings_post,/api/anti-tracker/settings,POST,optional_or_unknown,Обновление настроек,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,get_statistics_api_anti_tracker_stats_get,/api/anti-tracker/stats,GET,optional_or_unknown,Статистика блокировок,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,get_block_status_api_anti_tracker_status_get,/api/anti-tracker/status,GET,optional_or_unknown,Статус блокировки домена,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,get_tracker_lists_api_anti_tracker_trackers_get,/api/anti-tracker/trackers,GET,optional_or_unknown,Список известных трекеров,unknown,to_verify,to_verify,must_not_return_mock
anti-tracker,unblock_tracker_api_anti_tracker_unblock_post,/api/anti-tracker/unblock,POST,optional_or_unknown,Разблокировка трекера,unknown,to_verify,to_verify,must_not_return_mock
auth,login_api_auth_login_post,/api/auth/login,POST,optional_or_unknown,Login,LoginResponse,to_verify,to_verify,must_not_return_mock
auth,login_by_recovery_code_api_auth_login_by_recovery_code_post,/api/auth/login-by-recovery-code,POST,optional_or_unknown,Login By Recovery Code,LoginResponse,to_verify,to_verify,must_not_return_mock
