endpoint_family,component,required_entity,required_access,priority,note
/,other,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/activation/retrieve,payments,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai-categories/age-restriction,AI Categories,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai-categories/allow,AI Categories,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai-categories/block,AI Categories,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai-categories/check,AI Categories,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai-categories/health,AI Categories,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai-categories/history,AI Categories,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai-categories/sites,AI Categories,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai-categories/status,AI Categories,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai/assistant,AI Assistant,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/ai/assistant,AI Assistant,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai/chat,system-ai-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/ai/message,system-ai-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/analytics,analytics,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/analytics/threats,analytics,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/analytics/top-threats,analytics,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/block,anti-tracker,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/anti-tracker/check,anti-tracker,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/anti-tracker/health,anti-tracker,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/settings,anti-tracker,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/settings,anti-tracker,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/anti-tracker/stats,anti-tracker,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/status,anti-tracker,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/trackers,anti-tracker,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/anti-tracker/unblock,anti-tracker,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/login,auth,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/login-by-recovery-code,auth,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/logout,auth,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/refresh,auth,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/register,auth,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/register-device,subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/auth/register-device-trial,subscription,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/chat/offline-messages,Other Functions,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/batch,components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/bulk-update,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/config,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/config,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/config,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/configuration,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/configuration,components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/dependencies,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/disable,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/disable,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/enable,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/enable,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/health,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/list,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/logs,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/metrics,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/restart,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/status,components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/status,Components,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/components/status,components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/test,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/components/update,Components,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/alert,crash-detection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/cancel-emergency-call,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/data,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/emergency-call,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/health,Crash Detection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/history,Crash Detection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/notifications,Crash Detection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/notifications,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/report,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/settings,crash-detection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/setup,crash-detection-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/start,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/status,Crash Detection,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/crash-detection/stop,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/crash-detection/sync,Crash Detection,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/darkweb/breaches,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/darkweb/check,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/darkweb/health,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/darkweb/start-monitoring,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/darkweb/status,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/darkweb/stop-monitoring,Dark Web Monitoring,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/data-cleanup/health,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/data-cleanup/periodic-scan,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/data-cleanup/preferences,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/data-cleanup/preferences,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/data-cleanup/remove,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/data-cleanup/report,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/data-cleanup/scan,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/data-cleanup/scan-status,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/data-cleanup/status,Data Cleanup,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/devices,misc-other-compat,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/event,driving-reports,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/driving-reports/generate,driving-reports,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/driving-reports/health,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/monthly,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/recommendations,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/report,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/safety-score,driving-reports,TBD_SCHEMA.TBD_TABLE,RO,medium,Define canonical storage model and add migration
/api/driving-reports/start,driving-reports,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
/api/driving-reports/stop,driving-reports,TBD_SCHEMA.TBD_TABLE,RW,high,Define canonical storage model and add migration
