method,endpoint,source_file,handler,must_write_db,writes_db_detected,decision,rationale
POST,/api/activation/retrieve,app/routers/payments.py,retrieve_activation_code,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/ai-categories/age-restriction,security/api/routers/ai_categories_router.py,set_age_restriction,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/ai-categories/allow,security/api/routers/ai_categories_router.py,allow_sites,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/ai-categories/block,security/api/routers/ai_categories_router.py,block_sites,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/ai-categories/check,security/api/routers/ai_categories_router.py,check_access,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/ai/assistant/analyze_threat,ai_assistant_router.py,ai_assistant_analyze_threat,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/ai/assistant/chat,ai_assistant_router.py,ai_assistant_chat,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/ai/assistant/feedback,ai_assistant_router.py,ai_assistant_feedback,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/ai/assistant/report_incident,ai_assistant_router.py,ai_assistant_report_incident,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/anti-tracker/block,security/api/routers/anti_tracker_router.py,block_tracker,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/anti-tracker/check,security/api/routers/anti_tracker_router.py,check_request,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/anti-tracker/settings,security/api/routers/anti_tracker_router.py,update_settings,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/anti-tracker/unblock,security/api/routers/anti_tracker_router.py,unblock_tracker,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/auth/login,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/login-by-recovery-code,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/logout,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/refresh,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/register,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/register-device,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/auth/register-device-trial,,,false,false,must_not_write_db,Auth endpoint в этом контуре не является обязательным доменным write-path для ML/analytics freshness.
POST,/api/chat/offline-messages/resolve-conflicts,other_functions_sync_router.py,resolve_message_conflicts,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/chat/offline-messages/send,other_functions_sync_router.py,send_offline_message,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/chat/offline-messages/sync,other_functions_sync_router.py,sync_offline_messages,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/components/batch/status,,,false,false,must_not_write_db,Static scanner marks as non-write mutation semantics.
POST,/api/components/config/update/{component_id},,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/components/configuration/{component_id},,,true,true,must_write_db,Static scanner detected SQL write markers.
POST,/api/components/disable/{component_id},,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/components/enable/{component_id},,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/components/restart/{component_id},,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/components/status/{component_id},,,false,false,must_not_write_db,Static scanner marks as non-write mutation semantics.
POST,/api/components/test/{component_id},,,true,true,must_write_db,Static scanner detected SQL write markers.
POST,/api/components/update/{component_id},,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/crash-detection/alert,implement_crash_detection_server.py,send_crash_alert,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/cancel-emergency-call,security/api/routers/crash_detection_router.py,cancel_emergency_call,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/data,implement_crash_detection_server.py,send_crash_detection_data,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/emergency-call,security/api/routers/crash_detection_router.py,call_emergency,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/notifications/send,crash_detection_sync_router.py,send_crash_notification,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/crash-detection/report,crash_detection_sync_router.py,report_crash,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/crash-detection/setup,implement_crash_detection_server.py,setup_crash_detection,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/start,implement_crash_detection_server.py,start_crash_detection_monitoring,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/stop,implement_crash_detection_server.py,stop_crash_detection_monitoring,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/crash-detection/sync,crash_detection_sync_router.py,sync_crash_detection,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/darkweb/check,security/api/routers/dark_web_monitoring_router.py,check_email_breach,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/darkweb/start-monitoring,security/api/routers/dark_web_monitoring_router.py,start_monitoring,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/darkweb/stop-monitoring,security/api/routers/dark_web_monitoring_router.py,stop_monitoring,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/data-cleanup/periodic-scan,security/api/routers/data_cleanup_router.py,trigger_periodic_scan,false,false,must_not_write_db,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
POST,/api/data-cleanup/preferences,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/data-cleanup/remove,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/data-cleanup/scan,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/driving-reports/event,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/driving-reports/generate,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/driving-reports/start,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/driving-reports/stop,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
POST,/api/elderly/appointments/sync,,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/elderly/appointments/update,,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/elderly/medications/sync,,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/elderly/medications/update,,,false,false,must_not_write_db,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
POST,/api/family/create,,,true,false,unknown,Endpoint decorator не найден в текущем workspace; требуется runtime trace на сервере.
DELETE,/api/family/remove,,,true,true,must_write_db,Static scanner detected SQL write markers.
POST,/api/parental/bypass/apply,security/api/routers/parental_control_router.py,apply_bypass_protection,true,true,must_write_db,Parental bypass state persists; confirmed UPSERT shadow table (parental_bypass_state_shadow)
POST,/api/reports/dark-web/scan/start,security/api/routers/reports_router.py,reports_dark_web_scan_start_post,true,true,must_write_db,Initiates scan event; confirmed INSERT darkweb.darkweb_leaks + leak_date
POST,/api/reports/identity-theft/allow,app/security/api/routers/identity_theft_protection_router.py,allow_attempt,true,true,must_write_db,Security action changes domain state; confirmed UPDATE identity.identity_attempts + timestamp
POST,/api/reports/identity-theft/block,app/security/api/routers/identity_theft_protection_router.py,block_attempt,true,true,must_write_db,Security action changes domain state; confirmed UPDATE identity.identity_attempts + timestamp
POST,/api/reports/privacy/cleanup/start,app/security/api/routers/data_cleanup_router.py,start_cleanup,true,true,must_write_db,Starts cleanup process; confirmed INSERT cleanup.cleanup_records + cleanup_date
POST,/api/reports/privacy/location/allow,app/security/api/routers/location_bubble_router.py,allow_location,true,true,must_write_db,Location action changes domain state; confirmed UPDATE location.location_requests + timestamp
POST,/api/reports/privacy/location/block,app/security/api/routers/location_bubble_router.py,block_location,true,true,must_write_db,Location action changes domain state; confirmed UPDATE location.location_requests + timestamp
POST,/api/reports/privacy/tracker/whitelist,app/security/api/routers/anti_tracker_router.py,add_to_whitelist,true,true,must_write_db,Tracker whitelist affects protection state; confirmed UPDATE/INSERT tracker.tracker_blocks + last_blocked_at
