component,function,method,endpoint,must_write_db,writes_db_detected,decision,decision_source,rationale
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,POST,/api/ai/assistant/analyze_threat,,false,unknown,business_registry,Handler delegates to `sfm_adapter` (or similar) for production-side processing; DB write behavior is opaque from this repo layer. Needs server-side trace/DB before-after validation.
AI Assistant,ai_assistant_capabilities_api_ai_assistant_capabilities_get,GET,/api/ai/assistant/capabilities,,,unknown,none,No decision yet.
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,POST,/api/ai/assistant/chat,,false,unknown,business_registry,Handler delegates to `sfm_adapter` (or similar) for production-side processing; DB write behavior is opaque from this repo layer. Needs server-side trace/DB before-after validation.
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,POST,/api/ai/assistant/feedback,,false,unknown,business_registry,Handler delegates to `sfm_adapter` (or similar) for production-side processing; DB write behavior is opaque from this repo layer. Needs server-side trace/DB before-after validation.
AI Assistant,ai_assistant_history_api_ai_assistant_history_get,GET,/api/ai/assistant/history,,,unknown,none,No decision yet.
AI Assistant,ai_assistant_recommendations_api_ai_assistant_recommendations_get,GET,/api/ai/assistant/recommendations,,,unknown,none,No decision yet.
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,POST,/api/ai/assistant/report_incident,,false,unknown,business_registry,Handler delegates to `sfm_adapter` (or similar) for production-side processing; DB write behavior is opaque from this repo layer. Needs server-side trace/DB before-after validation.
AI Assistant,ai_assistant_security_tips_api_ai_assistant_security_tips_get,GET,/api/ai/assistant/security_tips,,,unknown,none,No decision yet.
AI Categories,allow_sites_api_ai_categories_allow_post,POST,/api/ai-categories/allow,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,block_sites_api_ai_categories_block_post,POST,/api/ai-categories/block,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,check_access_api_ai_categories_check_post,POST,/api/ai-categories/check,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,get_access_history_api_ai_categories_history_get,GET,/api/ai-categories/history,,,unknown,none,No decision yet.
AI Categories,get_sites_api_ai_categories_sites_get,GET,/api/ai-categories/sites,,,unknown,none,No decision yet.
AI Categories,get_status_api_ai_categories_status_get,GET,/api/ai-categories/status,,,unknown,none,No decision yet.
AI Categories,health_check_api_ai_categories_health_get,GET,/api/ai-categories/health,,,unknown,none,No decision yet.
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,POST,/api/ai-categories/age-restriction,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Components,disable_component_api_components_disable__component_id__post,POST,/api/components/disable/{component_id},true,false,unknown,static_registry_fallback,"Derived from static registry fallback (heuristic), requires manual business confirmation."
