component,function,method,endpoint,must_write_db,writes_db_detected,decision,decision_source,rationale
AI Assistant,ai_assistant_analyze_threat_api_ai_assistant_analyze_threat_post,POST,/api/ai/assistant/analyze_threat,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/ai_assistant_router.py:ai_assistant_analyze_threat,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
AI Assistant,ai_assistant_chat_api_ai_assistant_chat_post,POST,/api/ai/assistant/chat,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/ai_assistant_router.py:ai_assistant_chat,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
AI Assistant,ai_assistant_feedback_api_ai_assistant_feedback_post,POST,/api/ai/assistant/feedback,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/ai_assistant_router.py:ai_assistant_feedback,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
AI Assistant,ai_assistant_report_incident_api_ai_assistant_report_incident_post,POST,/api/ai/assistant/report_incident,false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/ai_assistant_router.py:ai_assistant_report_incident,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
AI Categories,allow_sites_api_ai_categories_allow_post,POST,/api/ai-categories/allow,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,block_sites_api_ai_categories_block_post,POST,/api/ai-categories/block,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,check_access_api_ai_categories_check_post,POST,/api/ai-categories/check,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
AI Categories,set_age_restriction_api_ai_categories_age_restriction_post,POST,/api/ai-categories/age-restriction,false,false,must_not_write_db,business_registry,Current handler/agent implementation stores state in-memory (no db.execute/INSERT/UPDATE observed in this code path). DB persistence for ML freshness is expected via other domain write endpoints.
Components,disable_component_api_components_disable__component_id__post,POST,/api/components/disable/{component_id},false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/components_router.py:disable_component,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
Components,enable_component_api_components_enable__component_id__post,POST,/api/components/enable/{component_id},false,false,must_not_write_db,manual_handler_trace:/Users/sergejhlystov/ALADDIN_NEW/ALADDIN_NEW/mobile_apps/ALADDIN_iOS/security/api/routers/components_router.py:enable_component,Handler делегирует в сервис/compat слой без явного DB write в текущем router-слое.
